"FileName","Nodes","Edges","Length"
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.24947
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_009_001.gnet",2,1,0.22
"Data/Hela_pmito-mch-FRB_010_002.gnet",1075,1319,1818.36423
"Data/Hela_pmito-mch-FRB_010_002.gnet",25,27,48.31036
"Data/Hela_pmito-mch-FRB_010_002.gnet",8,7,19.79952
"Data/Hela_pmito-mch-FRB_010_002.gnet",8,7,16.78367
"Data/Hela_pmito-mch-FRB_010_002.gnet",6,6,15.56156
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,10.1903
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,9.90772
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,6.51443
"Data/Hela_pmito-mch-FRB_010_002.gnet",6,5,5.97281
"Data/Hela_pmito-mch-FRB_010_002.gnet",7,7,5.91495
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,5.01057
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,4.77592
"Data/Hela_pmito-mch-FRB_010_002.gnet",6,5,4.66849
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,4.66106
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,4.14178
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,3.79013
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,3.66153
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,3.48314
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,3.32423
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,3.21647
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,3.09137
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,3.0198
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,2.66177
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,2.32538
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,2.30945
"Data/Hela_pmito-mch-FRB_010_002.gnet",4,3,2.28491
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,2.08207
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.97072
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.83307
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.66382
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.5756
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.52631
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.51076
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.49842
"Data/Hela_pmito-mch-FRB_010_002.gnet",2,1,1.45009
